fips,state,county,medinc
01001,01,001,53773
01003,01,003,50706
01005,01,005,31889
01007,01,007,36824
01009,01,009,45192
01011,01,011,34500
01013,01,013,30752
01015,01,015,40093
01017,01,017,32181
01019,01,019,36241
01021,01,021,40834
01023,01,023,35123
01025,01,025,30954
01027,01,027,34556
01029,01,029,37244
01031,01,031,44626
01033,01,033,40158
01035,01,035,27064
01037,01,037,37425
01039,01,039,35321
01041,01,041,37309
01043,01,043,39244
01045,01,045,45247
01047,01,047,26178
01049,01,049,36853
01051,01,051,55514
01053,01,053,31075
01055,01,055,37660
01057,01,057,33090
01059,01,059,37235
01061,01,061,33618
01063,01,063,23777
01065,01,065,29409
01067,01,067,40680
01069,01,069,41828
01071,01,071,37059
01073,01,073,45415
01075,01,075,35271
01077,01,077,40701
01079,01,079,39526
01081,01,081,43189
01083,01,083,48197
01085,01,085,28023
01087,01,087,27957
01089,01,089,58242
01091,01,091,34515
01093,01,093,31970
01095,01,095,38649
01097,01,097,42973
01099,01,099,30996
01101,01,101,44401
01103,01,103,45852
01105,01,105,31008
01107,01,107,28762
01109,01,109,31702
01111,01,111,35074
01113,01,113,33591
01115,01,115,49652
01117,01,117,69379
01119,01,119,22655
01121,01,121,35209
01123,01,123,38611
01125,01,125,43996
01127,01,127,37408
01129,01,129,42256
01131,01,131,24212
01133,01,133,32830
02013,02,013,58125
02016,02,016,77292
02020,02,020,76495
02050,02,050,52349
02060,02,060,79931
02068,02,068,74044
02070,02,070,56857
02090,02,090,69485
02100,02,100,50208
02105,02,105,48942
02110,02,110,78947
02122,02,122,59421
02130,02,130,59736
02150,02,150,70976
02164,02,164,49808
02170,02,170,70728
02180,02,180,51472
02185,02,185,76679
02188,02,188,60870
02195,02,195,61696
02198,02,198,45774
02220,02,220,66895
02230,02,230,71583
02240,02,240,62712
02261,02,261,67421
02270,02,270,40608
02275,02,275,47348
02282,02,282,71705
02290,02,290,35559
04001,04,001,31615
04003,04,003,45505
04005,04,005,48320
04007,04,007,38504
04009,04,009,44421
04011,04,011,49692
04012,04,012,35093
04013,04,013,54385
04015,04,015,39383
04017,04,017,37683
04019,04,019,46443
04021,04,021,50164
04023,04,023,37692
04025,04,025,43652
04027,04,027,41156
05001,05,001,39883
05003,05,003,38069
05005,05,005,35209
05007,05,007,53515
05009,05,009,38364
05011,05,011,32321
05013,05,013,31425
05015,05,015,35558
05017,05,017,25188
05019,05,019,32393
05021,05,021,32695
05023,05,023,39410
05025,05,025,38060
05027,05,027,34895
05029,05,029,32625
05031,05,031,41054
05033,05,033,39981
05035,05,035,36521
05037,05,037,39665
05039,05,039,30309
05041,05,041,29504
05043,05,043,32087
05045,05,045,49008
05047,05,047,35918
05049,05,049,35059
05051,05,051,38680
05053,05,053,49063
05055,05,055,38481
05057,05,057,31193
05059,05,059,39652
05061,05,061,35236
05063,05,063,34374
05065,05,065,31011
05067,05,067,31692
05069,05,069,37561
05071,05,071,32198
05073,05,073,28633
05075,05,075,32205
05077,05,077,26098
05079,05,079,34107
05081,05,081,39042
05083,05,083,37237
05085,05,085,51499
05087,05,087,33481
05089,05,089,33497
05091,05,091,40314
05093,05,093,35651
05095,05,095,28075
05097,05,097,33240
05099,05,099,35578
05101,05,101,27790
05103,05,103,32032
05105,05,105,42738
05107,05,107,27219
05109,05,109,32087
05111,05,111,31743
05113,05,113,33479
05115,05,115,40948
05117,05,117,35806
05119,05,119,46102
05121,05,121,32539
05123,05,123,30104
05125,05,125,53817
05127,05,127,38130
05129,05,129,30301
05131,05,131,40247
05133,05,133,32081
05135,05,135,30240
05137,05,137,32834
05139,05,139,39349
05141,05,141,33900
05143,05,143,41429
05145,05,145,41410
05147,05,147,28061
05149,05,149,38245
06001,06,001,71516
06003,06,003,59931
06005,06,005,53462
06007,06,007,43339
06009,06,009,54686
06011,06,011,52165
06013,06,013,78187
06015,06,015,39626
06017,06,017,70117
06019,06,019,45741
06021,06,021,42641
06023,06,023,40830
06025,06,025,41255
06027,06,027,45000
06029,06,029,47727
06031,06,031,48761
06033,06,033,38147
06035,06,035,51921
06037,06,037,56241
06039,06,039,47937
06041,06,041,90962
06043,06,043,52584
06045,06,045,43721
06047,06,047,43565
06049,06,049,37482
06051,06,051,61868
06053,06,053,60143
06055,06,055,69571
06057,06,057,57382
06059,06,059,75566
06061,06,061,73356
06063,06,063,45358
06065,06,065,57096
06067,06,067,55846
06069,06,069,63939
06071,06,071,54750
06073,06,073,63373
06075,06,075,73802
06077,06,077,53895
06079,06,079,59628
06081,06,081,87751
06083,06,083,62723
06085,06,085,90747
06087,06,087,66571
06089,06,089,44396
06091,06,091,42500
06093,06,093,37948
06095,06,095,69006
06097,06,097,63565
06099,06,099,49866
06101,06,101,50510
06103,06,103,40307
06105,06,105,36569
06107,06,107,43803
06109,06,109,48169
06111,06,111,76483
06113,06,113,57260
06115,06,115,46641
08001,08,001,56633
08003,08,003,38045
08005,08,005,60400
08007,08,007,54007
08009,08,009,39497
08011,08,011,36297
08013,08,013,67403
08014,08,014,80483
08015,08,015,45713
08017,08,017,50357
08019,08,019,60517
08021,08,021,32860
08023,08,023,25309
08025,08,025,38507
08027,08,027,42534
08029,08,029,42786
08031,08,031,49091
08033,08,033,43098
08035,08,035,101108
08037,08,037,71030
08039,08,039,80811
08041,08,041,57531
08043,08,043,40893
08045,08,045,60215
08047,08,047,62286
08049,08,049,64416
08051,08,051,50091
08053,08,053,54844
08055,08,055,32754
08057,08,057,45298
08059,08,059,68748
08061,08,061,41739
08063,08,063,42832
08065,08,065,45082
08067,08,067,57407
08069,08,069,57927
08071,08,071,41623
08073,08,073,43807
08075,08,075,41369
08077,08,077,51029
08079,08,079,52750
08081,08,081,51008
08083,08,083,44102
08085,08,085,47139
08087,08,087,42829
08089,08,089,31860
08091,08,091,66474
08093,08,093,62594
08095,08,095,45339
08097,08,097,68621
08099,08,099,33671
08101,08,101,41820
08103,08,103,58393
08105,08,105,38329
