fips,medinc
1001,51939
1003,50391
1005,33895
1007,31763
1009,42863
1013,30915
1015,39972
1017,31144
1019,32760
1021,39553
1025,31143
1031,42480
1033,37687
1039,34194
1043,37939
1045,43989
1047,25387
1049,37912
1051,54213
1053,28740
1055,35655
1059,37301
1061,34216
1069,40643
1071,37047
1073,43809
1077,41504
1079,37649
1081,43125
1083,48956
1087,29191
1089,56311
1091,32212
1093,30283
1095,39562
1097,41772
1099,29750
1101,43580
1103,45085
1109,31444
1111,34569
1113,34562
1115,49660
1117,66861
1121,32865
1123,38115
1125,43340
1127,35493
1133,32467
2020,74648
2090,67169
2110,78547
2122,60682
2170,69822
4001,32473
4003,44446
4005,45919
4007,38847
4009,46129
4012,36053
4013,51976
4015,36976
4017,36047
4019,45133
4021,48794
4023,36396
4025,42966
4027,41060
5003,38725
5005,34256
5007,53964
5009,36800
5015,35263
5019,31570
5023,40038
5027,33796
5029,33037
5031,40907
5033,38495
5035,36398
5045,50066
5051,38201
5055,37009
5057,29849
5059,41016
5063,33058
5069,37485
5071,32389
5083,36113
5085,50730
5091,38380
5093,36226
5103,32668
5107,27337
5111,30016
5113,32830
5115,39471
5119,45256
5123,32771
5125,54847
5131,39106
5139,39300
5143,40511
5145,41839
5149,38130
6001,70007
6005,49660
6007,41759
6009,54070
6011,51016
6013,75835
6015,36603
6017,67003
6019,44312
6021,38920
6023,40997
6025,40735
6029,46694
6031,47112
6033,35325
6035,53543
6037,54188
6039,46192
6041,85523
6045,41535
6047,42337
6053,57212
6055,67511
6057,54765
6059,73648
6061,70030
6063,49663
6065,54808
6067,53970
6069,62786
6071,52980
6073,61364
6075,72888
6077,51685
6079,57441
6081,84740
6083,61351
6085,89445
6087,65225
6089,43627
6093,36016
6095,65198
6097,61491
6099,46879
6101,49463
6103,40288
6107,42462
6109,44342
6111,74458
6113,53275
6115,44117
8001,55004
8005,59978
8013,66783
8014,77239
8029,40756
8031,49049
8035,98327
8037,68105
8039,81672
8041,55435
8043,39426
8045,53992
8059,67060
8067,54648
8069,56274
8075,41740
8077,47531
8083,41539
8085,45078
8087,42996
8101,40617
8107,60965
8117,60577
8119,58570
8123,54459
9001,79705
9003,63136
9005,69138
9007,75225
9009,60105
9011,65499
9013,79105
9015,57628
10001,54413
10003,63152
10005,52338
11001,64610
12001,41545
12003,46992
12005,45979
12007,38940
12009,47495
12011,50101
12015,44047
12017,37545
12019,57136
12021,53384
12023,35929
12027,32575
12031,46353
12033,43004
12035,45929
12039,36508
12049,33255
12051,34821
12053,39444
12055,35197
12057,47530
12061,43058
12063,36487
12069,43931
12071,46022
12073,45500
12075,34152
12081,46555
12083,37574
12085,47313
12086,41420
12087,52407
12089,55833
12091,53008
12093,32025
12095,46172
12097,43265
12099,51405
12101,42601
12103,44614
12105,41788
12107,32288
12109,61939
12111,41458
12113,57532
12115,47905
12117,57164
12119,45712
12121,37269
12123,34102
12127,40836
12129,50156
12131,42732
12133,38523
13009,30695
13013,52029
13015,46014
13021,35966
13029,62351
13031,33479
13033,31877
13035,50164
13039,53375
13045,45740
13047,47676
13051,44356
13055,32306
13057,66065
13059,33044
13063,37767
13067,61791
13069,36441
13071,32186
13073,64724
13077,58831
13081,35635
13085,51972
13087,28755
13089,48841
13091,35097
13095,30380
13097,51154
13103,64203
13105,34624
13107,33750
13111,35295
13113,80025
13115,39933
13117,84494
13119,32130
13121,55491
13123,39488
13127,44497
13129,40562
13131,28032
13135,58611
13137,40562
13139,50311
13143,39635
13145,73514
13147,31848
13151,57720
13153,55184
13157,51478
13169,53506
13175,33368
13177,59119
13179,44274
13185,36373
13187,43551
13189,37972
13195,40699
13199,36850
13205,29903
13207,44233
13213,32618
13215,39113
13217,47580
13219,77794
13223,60282
13225,39161
13227,48010
13233,37288
13237,41247
13245,38990
13247,52510
13255,39345
13257,38291
13261,33732
13267,35444
13275,30813
13277,36131
13279,31200
13285,40180
13291,40956
13293,33923
13295,37750
13297,50923
13299,34594
13303,31293
13305,37758
13311,40338
13313,39575
13321,36735
15001,48995
15003,70541
15007,60332
15009,61383
16001,52697
16005,42276
16011,47684
16013,57955
16017,39725
16019,50447
16027,41569
16031,43069
16039,41077
16051,50022
16053,40721
16055,46941
16057,40265
16065,32578
16067,42896
16069,45819
16075,40172
16083,41778
17001,44315
17007,58922
17011,47348
17019,44574
17021,44177
17027,60424
17029,36725
17031,52754
17037,51624
17043,77020
17049,51273
17051,43614
17055,37296
17057,43583
17063,60711
17073,51243
17075,46794
17077,31495
17081,42330
17083,55737
17085,50000
17089,67042
17091,47360
17093,81946
17095,40077
17097,76657
17099,49754
17103,48758
17105,54818
17107,46102
17109,33971
17111,74008
17113,60954
17115,45275
17117,48086
17119,51947
17121,39924
17133,69056
17135,45662
17137,45602
17141,55071
17143,50102
17145,40674
17157,49292
17161,46535
17163,50047
17165,37039
17167,53209
17173,45217
17177,44786
17179,53763
17183,40796
17195,46137
17197,73707
17199,41746
17201,46747
17203,69505
18001,45796
18003,49088
18005,53072
18011,65956
18015,50241
18017,39200
18019,48789
18021,45140
18023,48251
18027,45583
18029,59013
18031,49407
18033,46565
18035,36720
18037,53630
18039,45133
18041,35622
18043,51230
18047,46291
18049,40939
18051,47687
18053,38033
18055,42402
18057,82404
18059,61507
18061,51765
18063,68043
18065,37282
18067,40087
18069,46461
18071,46236
18073,57703
18075,40649
18077,41004
18079,45051
18081,61544
18083,40088
18085,50867
18087,45294
18089,48069
18091,46944
18093,42678
18095,42187
18097,40655
18099,44571
18103,42444
18105,39332
18107,42419
18109,53637
18113,47133
18119,41091
18127,60925
18129,59969
18133,47029
18135,41164
18137,46566
18141,44626
18143,40989
18145,50354
18147,55278
18149,38955
18151,47513
18153,45392
18157,42660
18163,42623
18167,41322
18169,45205
18173,61619
18175,40366
18177,35925
18179,47254
18181,48626
18183,51526
19011,56397
19013,45576
19015,51279
19017,59104
19019,54645
19021,46244
19027,50460
19033,43314
19045,48541
19049,70404
19057,42408
19061,51171
19065,44472
19087,44937
19097,43810
19099,48116
19103,52935
19105,53145
19111,41405
19113,57173
19123,48420
19125,53588
19127,51550
19139,47643
19149,57274
19153,56992
19155,50624
19163,51026
19167,57408
19169,49638
19179,39778
19181,62066
19183,52116
19187,40146
19191,52614
19193,44098
20009,45781
20015,55189
20021,40533
20035,39756
20037,36125
20045,48528
20051,42651
20055,47215
20057,50021
20059,49528
20061,46000
20079,46899
20091,73021
20099,39805
20103,61709
20111,40225
20113,53851
20121,60018
20125,39322
20149,55244
20155,42496
20161,44414
20169,45164
20173,48511
20175,48198
20177,46847
20191,47729
20209,38940
21003,37291
21005,54347
21009,38603
21013,25209
21015,65042
21019,38933
21021,39101
21027,39755
21029,53748
21035,40304
21037,53080
21043,36726
21047,37463
21049,43797
21051,20925
21059,44858
21067,47785
21071,27788
21073,44972
21081,46813
21083,36927
21085,34020
21089,42443
21093,47469
21095,25718
21101,39947
21107,40979
21111,45482
21113,46522
21115,34126
21117,52555
21121,26047
21125,35738
21133,33447
21137,33164
21141,35588
21145,44910
21151,40065
21155,36676
21157,44123
21163,48529
21167,41234
21173,35534
21177,39082
21179,41976
21183,38924
21185,77659
21193,31250
21195,31110
21199,32805
21205,34666
21209,60161
21211,54016
21217,35471
21227,41184
21231,27165
21235,30568
21239,56407
22001,36192
22003,36583
22005,66575
22007,43992
22009,33197
22011,44807
22015,53096
22017,40546
22019,42059
22029,29990
22031,40385
22033,47640
22037,46505
22039,30925
22041,30728
22043,35383
22045,43939
22047,41912
22051,46511
22053,39790
22055,48757
22057,47843
22061,35629
22063,55479
22067,26865
22069,33459
22071,36004
22073,36951
22075,55796
22077,45438
22079,40255
22083,40524
22085,36634
22087,41713
22089,55269
22093,50518
22095,53458
22097,35221
22099,40342
22101,40051
22103,58781
22105,38937
22109,48548
22111,34255
22113,45662
22115,47037
22117,31210
22119,35395
22121,48397
23001,44518
23003,37195
23005,58065
23007,38973
23009,44432
23011,46353
23013,48026
23015,48059
23017,40286
23019,42334
23023,52248
